brand,model,price,processor_brand,processor_tier,num_cores,ram_memory,storage_capacity,gpu_brand,is_touch_screen,display_size,os
asus,Asus VivoBook 15 X515MA-BR024WS Laptop,11752,intel,celeron,2,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 14 OLED 2023 M1405YA-KM541WS Laptop,23522,amd,ryzen 5,6,16,512,amd,FALSE,14,windows
asus,Asus Vivobook 14X 2023 K3405VF-LY541WS Laptop,29115,intel,core i5,12,16,512,nvidia,FALSE,14,windows
asus,Asus Vivobook 14X 90NB11H2-M004D0 Laptop,26596,intel,core i5,8,16,512,nvidia,FALSE,14,windows
asus,Asus Vivobook 14X K3405ZFB-KM541WS Laptop,25836,intel,core i5,8,16,512,nvidia,FALSE,14,windows
asus,Asus Vivobook 14X K3405ZFB-KM752WS Laptop,32676,intel,core i7,10,16,1024,nvidia,FALSE,14,windows
asus,Asus Vivobook 14X OLED 2023 K3405VCB-KM542WS Laptop,35719,intel,core i5,12,16,512,nvidia,FALSE,14,windows
asus,Asus Vivobook 14X OLED 2023 K3405VFB-KM541WS Laptop,34196,intel,core i5,12,16,512,nvidia,FALSE,14,windows
asus,Asus Vivobook 15 2023 X1502VA-NJ541WS Laptop,24696,intel,core i5,12,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop,17589,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ324WS Laptop,16336,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ523WS Laptop,21276,intel,core i5,10,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ543WS Laptop,23556,intel,core i5,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 2023 X1504VA-NJ544WS Laptop,24316,intel,core i5,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 M1502QA-EJ742WS Laptop,21656,amd,ryzen 7,8,16,512,amd,FALSE,15.6,windows
asus,Asus Vivobook 15 OLED 2023 M1505YA-LK541WS Laptop,20516,amd,ryzen 5,6,16,512,amd,FALSE,15.6,windows
asus,Asus Vivobook 15 OLED 2023 X1505VA-LK542WS Laptop,28496,intel,core i5,12,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop,28116,intel,core i5,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 Touch X515EA-EZ311WS Laptop,12726,intel,core i3,2,8,512,intel,TRUE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ385WS Laptop,15196,intel,core i3,10,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ523WS Laptop,21276,intel,core i5,12,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ531WS Laptop,20516,intel,core i5,10,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ532WS Laptop,18175,intel,core i5,10,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ541WS Laptop,23176,intel,core i5,12,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ542WS Laptop,21470,intel,core i5,12,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop,20516,intel,core i5,12,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ545WS Laptop,22796,intel,core i5,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ741WS Laptop,23176,intel,core i7,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ953WS Laptop,15120,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1502ZA-EJ993WS Laptop,17096,intel,core i3,6,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1504ZA-NJ321WS Laptop,14968,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1504ZA-NJ325WS Laptop,14056,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1504ZA-NJ521WS Laptop,18232,intel,core i5,10,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X1504ZA-NJ542WS Laptop,22944,intel,core i5,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15 X515EA-EJ542WS Laptop,18806,intel,core i5,4,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X 2023 K3504VAB-NJ321WS Laptop,15196,intel,core i3,6,8,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X 2023 K3504VAB-NJ541WS Laptop,23750,intel,core i5,10,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X OLED 2023 K3504VA-LK542WS Laptop,25988,intel,core i5,12,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X OLED 2023 K3504VA-LK552WS Laptop,26976,intel,core i5,12,16,1024,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X OLED M3504YA-LK541WS Laptop,22944,amd,ryzen 5,6,16,512,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X OLED M3504YA-LK552WS Laptop,24696,amd,ryzen 5,6,16,1024,intel,FALSE,15.6,windows
asus,Asus Vivobook 15X OLED M3504YA-LK752WS Laptop,27915,amd,ryzen 7,8,16,1024,amd,FALSE,15.6,windows
asus,Asus Vivobook 16 2023 M1605YA-MB521WS Laptop,18616,amd,ryzen 5,6,8,512,amd,FALSE,16,windows
asus,Asus Vivobook 16 2023 M1605YA-MB541WS Laptop,22796,amd,ryzen 5,6,16,512,amd,FALSE,16,windows
asus,Asus Vivobook 16 2023 M1605YA-MB551WS Laptop,25456,amd,ryzen 5,6,16,1024,amd,FALSE,16,windows
asus,Asus Vivobook 16 2023 M1605YA-MB741WS Laptop,26976,amd,ryzen 7,8,16,512,amd,FALSE,16,windows
asus,Asus Vivobook 16 2023 X1605VA-MB541WS Laptop,26144,intel,core i5,12,16,512,intel,FALSE,16,windows
